# Darya core lexicon - A2 batch (AI scripted)
# rank|dari|translit|pos|register|glossEn|exampleDari|exampleTranslit|exampleEn|tags|variants
501|انجنیر|enjinīr|noun|neutral|engineer|انجنیر پل را ساخت.|enjinīr pul rā sākht.|The engineer built the bridge.|Abstract Concepts|
502|نجار|najjār|noun|neutral|carpenter|نجار یک میز جور کرد.|najjār yak mēz jōr kard.|The carpenter made a table.|Abstract Concepts|
503|دریور|draywar|noun|neutral|driver|دریور تکسی بسیار تیز رفت.|draywar-i taksī bisyār tēz raft.|The taxi driver went very fast.|Abstract Concepts|
504|خیاط|khayyāt|noun|neutral|tailor|خیاط کالا را دوخت.|khayyāt kālā rā dōkht.|The tailor sewed the clothes.|Abstract Concepts|
505|پولیس|pōlīs|noun|neutral|police|پولیس امنیت را می‌گیرد.|pōlīs amniyat rā mēgīrad.|The police maintain security.|Law & Justice|
506|عسکر|askar|noun|neutral|soldier|عسکر وطن را دفاع می‌کند.|askar watan rā difā mēkunad.|The soldier defends the country.|Society & Politics|
507|مامور|māmūr|noun|neutral|official/employee|مامور دولتی به دفتر رفت.|māmūr-i dawlatī ba daftar raft.|The government employee went to the office.|Work & Business|
508|مدیر|mudīr|noun|neutral|manager/principal|مدیر مکتب سخنرانی کرد.|mudīr-i maktab sukhanrānī kard.|The school principal gave a speech.|Work & Business|
509|رئیس|ra'īs|noun|neutral|boss/president|رئیس شرکت جلسه دارد.|ra'īs-i shirkat jalasa dārad.|The company boss has a meeting.|Work & Business|
510|مستری|mistarī|noun|neutral|mechanic|مستری موتر را ترمیم کرد.|mistarī mōtar rā tarmīm kard.|The mechanic repaired the car.|Abstract Concepts|
511|نانوا|nānwā|noun|neutral|baker|نانوا نان گرم پخت.|nānwā nān-i garm pukht.|The baker baked hot bread.|Abstract Concepts|
512|قصاب|qassāb|noun|neutral|butcher|قصاب گوشت تازه آورد.|qassāb gōsht-i tāza āward.|The butcher brought fresh meat.|Abstract Concepts|
513|دکاندار|dukāndār|noun|neutral|shopkeeper|دکاندار سودا می‌فروشد.|dukāndār sawdā mēfurōshad.|The shopkeeper sells goods.|Abstract Concepts|
514|ترکاری فروش|tarkārī furōsh|noun|neutral|vegetable seller|ترکاری فروش کچالو دارد.|tarkārī furōsh kachālō dārad.|The vegetable seller has potatoes.|Food & Drink|
515|آشپز|āshpaz|noun|neutral|cook/chef|آشپز قابلی پلو پخته می‌کند.|āshpaz qābilī palaw pukhta mēkunad.|The chef is cooking Qabili palaw.|Food & Drink|
516|ترجمان|tarjumān|noun|neutral|translator/interpreter|ترجمان زبان انگلیسی می‌فهمد.|tarjumān zabān-i inglisī mēfahmad.|The translator understands the English language.|Abstract Concepts|
517|خبرنگار|khabar-nigār|noun|neutral|journalist|خبرنگار راپور می‌دهد.|khabar-nigār rāpōr mēdihad.|The journalist gives a report.|Abstract Concepts|
518|عکاس|akkās|noun|neutral|photographer|عکاس عکس‌های مقبول گرفت.|akkās aks-hā-yi maqbūl girift.|The photographer took beautiful photos.|Abstract Concepts|
519|وکیل|wakīl|noun|neutral|lawyer/representative|وکیل در محکمه گپ زد.|wakīl dar mahkama gap zad.|The lawyer spoke in court.|Law & Justice|
520|قاضی|qāzī|noun|neutral|judge|قاضی فیصله کرد.|qāzī faysala kard.|The judge made a decision.|Law & Justice|
521|شاروال|shārwāl|noun|neutral|mayor|شاروال سرک‌ها را پاک کرد.|shārwāl sarak-hā rā pāk kard.|The mayor cleaned the streets.|Abstract Concepts|
522|کارگر|kārgar|noun|neutral|worker|کارگر در فابریکه زحمت می‌کشد.|kārgar dar fābrīka zahmat mēkashad.|The worker works hard in the factory.|Work & Business|
523|صفاکار|safākār|noun|neutral|cleaner|صفاکار صنف را جارو زد.|safākār sinf rā jārō zad.|The cleaner swept the class.|Abstract Concepts|
524|محافظ|muhāfiz|noun|neutral|guard|محافظ دروازه را بسته کرد.|muhāfiz darwāza rā basta kard.|The guard closed the gate.|War & Conflict|
525|تاجر|tājir|noun|neutral|merchant/businessman|تاجر مال وارد می‌کند.|tājir māl wārid mēkunad.|The merchant imports goods.|Abstract Concepts|
526|صراف|sarrāf|noun|neutral|money changer|صراف دالر را افغانی کرد.|sarrāf dālar rā afghānī kard.|The money changer exchanged dollars to Afghanis.|Money & Finance|
527|سلمانی|salmānī|noun|neutral|barber|سلمانی موی مرا اصلاح کرد.|salmānī mō-yi ma rā islāh kard.|The barber cut my hair.|Abstract Concepts|
528|شار|shār|noun|neutral|city|کابل یک شار کلان است.|kābul yak shār-i kalān ast.|Kabul is a big city.|Society & Politics|
