# Darya core lexicon - B1 batch (AI scripted)
# rank|dari|translit|pos|register|glossEn|exampleDari|exampleTranslit|exampleEn|tags|variants
1201|سرمایه‌گذاری|sarmāya-guzārī|noun|neutral|investment|آنها در بخش مسکن سرمایه‌گذاری کردند.|ānhā dar bakhsh-i maskan sarmāya-guzārī kardand.|They made an investment in the housing sector.|Abstract Concepts|
1202|سرمایه‌گذار|sarmāya-guzār|noun|neutral|investor|سرمایه‌گذاران خارجی به کشور آمدند.|sarmāya-guzārān-i khārijī ba kishwar āmadand.|Foreign investors came to the country.|Abstract Concepts|
1203|بازرگانی|bāzargānī|noun|neutral|trade|اتاق تجارت و بازرگانی جلسه داشت.|utāq-i tijārat wa bāzargānī jalasa dāsht.|The chamber of commerce and trade had a meeting.|Work & Business|
1204|صادرات|sādirāt|noun|neutral|exports|صادرات میوه خشک امسال بیشتر بود.|sādirāt-i mēwa-yi khushk imsāl bēshtar būd.|Exports of dried fruits were higher this year.|Abstract Concepts|
1205|واردات|wāridāt|noun|neutral|imports|دولت تعرفه واردات را کاهش داد.|dawlat ta'rifa-yi wāridāt rā kāhish dād.|The government reduced the import tariffs.|Abstract Concepts|
1206|تولید|tawlīd|noun|neutral|production|تولید این فابریکه دو برابر شده است.|tawlīd-i īn fābrīka dū barābar shuda ast.|The production of this factory has doubled.|Abstract Concepts|
1207|تولیدکننده|tawlīd-kunanda|noun|neutral|producer|ما بزرگترین تولیدکننده این محصول هستیم.|mā buzurgtarīn tawlīd-kunanda-yi īn mahsūl hastēm.|We are the largest producer of this product.|Abstract Concepts|
1208|مصرف‌کننده|masraf-kunanda|noun|neutral|consumer|رضایت مصرف‌کننده برای ما مهم است.|rizāyat-i masraf-kunanda barāyi mā muhim ast.|Consumer satisfaction is important to us.|Abstract Concepts|
1209|بازاریابی|bāzāryābī|noun|neutral|marketing|تیم بازاریابی طرح جدیدی دارد.|tīm-i bāzāryābī tarh-i jadīdī dārad.|The marketing team has a new plan.|Abstract Concepts|
1210|اقتصادی|iqtisādī|adjective|neutral|economic|بحران اقتصادی شرکت‌ها را متضرر کرد.|buhrān-i iqtisādī shirkat-hā rā mutazarrir kard.|The economic crisis harmed the companies.|Descriptions & Qualities|
1211|مالیه|mālīya|noun|neutral|tax|همه باید مالیه خود را بپردازند.|hama bāyad mālīya-yi khud rā bipardāzand.|Everyone must pay their taxes.|Money & Finance|
1212|مالیاتی|mālīyātī|adjective|neutral|tax-related|سیستم مالیاتی اصلاح خواهد شد.|sīstam-i mālīyātī islāh khwāhad shud.|The tax system will be reformed.|Money & Finance|
1213|بودجه|būdjīha|noun|neutral|budget|بودجه سال آینده تصویب شد.|būdjīha-yi sāl-i āyanda taswīb shud.|Next year's budget was approved.|Abstract Concepts|
1214|حسابداری|hisābdārī|noun|neutral|accounting|او در بخش حسابداری کار می‌کند.|ō dar bakhsh-i hisābdārī kār mēkunad.|He works in the accounting department.|Abstract Concepts|
1215|حسابدار|hisābdār|noun|neutral|accountant|حسابدار شرکت گزارش مالی را آماده کرد.|hisābdār-i shirkat guzārish-i mālī rā āmāda kard.|The company accountant prepared the financial report.|Abstract Concepts|
1216|درآمد|darāmad|noun|neutral|income|درآمد او از این کار کافی نیست.|darāmad-i ō az īn kār kāfī nēst.|His income from this job is not enough.|Abstract Concepts|
1217|عایدات|āyidāt|noun|neutral|revenues|عایدات دولت امسال افزایش یافت.|āyidāt-i dawlat imsāl afzāyish yāft.|The government's revenues increased this year.|Abstract Concepts|
1218|مصارف|masārif|noun|neutral|expenses|مصارف دفتر بسیار بالا رفته است.|masārif-i daftar bisyār bālā rafta ast.|The office expenses have gone up significantly.|Abstract Concepts|
1219|هزینه|hazīna|noun|neutral|cost|هزینه تولید این کالا زیاد است.|hazīna-yi tawlīd-i īn kālā ziyād ast.|The production cost of this good is high.|Money & Finance|
1220|سود|sūd|noun|neutral|profit|این معامله سود خوبی داشت.|īn mu'āmila sūd-i khūbī dāsht.|This transaction had a good profit.|Abstract Concepts|
1221|تاوان|tāwān|noun|neutral|penalty/loss|ما تاوان اشتباه مدیر را دادیم.|mā tāwān-i ishtibāh-i mudīr rā dādēm.|We paid the penalty for the manager's mistake.|Abstract Concepts|
1222|ورشکستگی|warshikastagī|noun|neutral|bankruptcy|شرکت اعلام ورشکستگی کرد.|shirkat i'lām-i warshikastagī kard.|The company declared bankruptcy.|Abstract Concepts|
1223|ورشکست|warshikast|adjective|neutral|bankrupt|تاجر بزرگ ورشکست شد.|tājir-i buzurg warshikast shud.|The big merchant went bankrupt.|Descriptions & Qualities|
1224|تورم|tawarrum|noun|neutral|inflation|نرخ تورم دوباره بالا رفته است.|nirkh-i tawarrum dūbāra bālā rafta ast.|The inflation rate has gone up again.|Abstract Concepts|
1225|تورم‌پولی|tawarrum-i pūlī|noun|neutral|financial inflation|دولت در حال مبارزه با تورم پولی است.|dawlat dar hāl-i mubāraza bā tawarrum-i pūlī ast.|The government is fighting financial inflation.|Abstract Concepts|
1226|اسعار|as'ār|noun|neutral|foreign exchange|خرید و فروش اسعار ممنوع شد.|kharīd wa furōsh-i as'ār mamnū' shud.|Buying and selling foreign exchange was banned.|Abstract Concepts|
1227|صرافی|sarrāfī|noun|neutral|exchange office|من از صرافی پول تبدیل کردم.|man az sarrāfī pūl tabdīl kardam.|I exchanged money at the exchange office.|Work & Business|
1228|بانکداری|bānkdārī|noun|neutral|banking|سیستم بانکداری نیاز به مدرن‌سازی دارد.|sīstam-i bānkdārī nīyāz ba mudirn-sāzī dārad.|The banking system needs modernization.|Abstract Concepts|
1229|حساب‌بانکی|hisāb-i bānkī|noun|neutral|bank account|من یک حساب بانکی جدید باز کردم.|man yak hisāb-i bānkī-yi jadīd bāz kardam.|I opened a new bank account.|Money & Finance|
1230|قرضه|qarza|noun|neutral|loan|او از بانک قرضه گرفت.|ō az bānk qarza girift.|He took a loan from the bank.|Money & Finance|
1231|وام|wām|noun|neutral|loan|گرفتن وام برای تجارت مفید است.|giriftan-i wām barāyi tijārat mufīd ast.|Getting a loan is useful for business.|Money & Finance|
1232|پرداخت|pardākht|noun|neutral|payment|پرداخت حقوق کارمندان به تعویق افتاد.|pardākht-i huqūq-i kārmandān ba ta'wīq uftād.|The payment of employees' salaries was delayed.|Abstract Concepts|
1233|قسط|qist|noun|neutral|installment|من قسط اول وام را پرداختم.|man qist-i awwal-i wām rā pardākhtam.|I paid the first installment of the loan.|Abstract Concepts|
1234|چک|chak|noun|neutral|cheque|او به جای پول نقد چک داد.|ō ba jāyi pūl-i naqd chak dād.|He gave a cheque instead of cash.|Abstract Concepts|
1235|ضمانت|zamānat|noun|neutral|guarantee|شرکت برای این محصول ضمانت می‌دهد.|shirkat barāyi īn mahsūl zamānat mēdihad.|The company provides a guarantee for this product.|Abstract Concepts|
1236|بیمه|bīma|noun|neutral|insurance|کارمندان باید بیمه صحی داشته باشند.|kārmandān bāyad bīma-yi sihhī dāshta bāshand.|Employees must have health insurance.|Abstract Concepts|
1237|شرکت|shirkat|noun|neutral|company|این شرکت محصولات با کیفیتی تولید می‌کند.|īn shirkat mahsūlāt-i bā-kayfīyatī tawlīd mēkunad.|This company produces high-quality products.|Work & Business|
1238|کمپانی|kampānī|noun|neutral|company/corporation|کمپانی ما شعبه جدیدی باز کرد.|kampānī-yi mā shu'ba-yi jadīdī bāz kard.|Our corporation opened a new branch.|Work & Business|
1239|موسسه|mu'assisa|noun|neutral|institute/organization|این موسسه در بخش آموزش فعال است.|īn mu'assisa dar bakhsh-i āmōzish fa'āl ast.|This institute is active in the education sector.|Abstract Concepts|
1240|سازمان|sāzmān|noun|neutral|organization|سازمان ملل به این کشور کمک کرد.|sāzmān-i milal ba īn kishwar kumak kard.|The United Nations helped this country.|Abstract Concepts|
1241|نهاد|nahād|noun|neutral|institution|نهادهای مالی باید شفاف باشند.|nahād-hā-yi mālī bāyad shafāf bāshand.|Financial institutions must be transparent.|Abstract Concepts|
1242|اداره|idāra|noun|neutral|office/administration|من فردا به اداره می‌روم.|man fardā ba idāra mērawam.|I am going to the office tomorrow.|Work & Business|
1243|دفتر|daftar|noun|neutral|office|دفتر او در مرکز شهر است.|daftar-i ō dar markaz-i shahr ast.|His office is in the city center.|Work & Business|
1244|مدیریت|mudīrīyat|noun|neutral|management|مدیریت این پروژه بسیار سخت است.|mudīrīyat-i īn prurōzha bisyār sakht ast.|The management of this project is very difficult.|Abstract Concepts|
1245|ریاست|riyāsat|noun|neutral|presidency/directorate|او به عنوان ریاست جدید انتخاب شد.|ō ba 'unwān-i riyāsat-i jadīd intikhāb shud.|He was elected as the new director.|Abstract Concepts|
1246|معاون|mu'āwin|noun|neutral|deputy/assistant|معاون او کارهای اجرایی را انجام می‌دهد.|mu'āwin-i ō kār-hā-yi ijrāyī rā anjām mēdihad.|His deputy does the executive work.|Abstract Concepts|
1247|پرسونل|pursūnal|noun|neutral|personnel|پرسونل شفاخانه اعتصاب کردند.|pursūnal-i shifākhāna i'tisāb kardand.|The hospital personnel went on strike.|Abstract Concepts|
1248|استخدام|istikhdām|noun|neutral|employment/hiring|پروسه استخدام ماه آینده شروع می‌شود.|purōsa-yi istikhdām māh-i āyanda shurū' mēshawad.|The hiring process starts next month.|Abstract Concepts|
1249|استخدام‌کردن|istikhdām kardan|verb|neutral|to employ/hire|شرکت ما دو نفر جدید استخدام کرد.|shirkat-i mā dū nafar-i jadīd istikhdām kard.|Our company hired two new people.|Work & Business|istikhdām kun
1250|قرارداد|qarārdād|noun|neutral|contract|ما یک قرارداد جدید امضا کردیم.|mā yak qarārdād-i jadīd imzā kardēm.|We signed a new contract.|Abstract Concepts|
1251|امضا|imzā|noun|neutral|signature|این سند نیاز به امضا دارد.|īn sanad nīyāz ba imzā dārad.|This document needs a signature.|Abstract Concepts|
1252|امضاکردن|imzā kardan|verb|neutral|to sign|مدیر قرارداد را امضا کرد.|mudīr qarārdād rā imzā kard.|The manager signed the contract.|Actions & Movement|imzā kun
1253|معاش|ma'āsh|noun|neutral|salary|معاش کارمندان فردا پرداخت می‌شود.|ma'āsh-i kārmandān fardā pardākht mēshawad.|The employees' salary will be paid tomorrow.|Money & Finance|
1254|حقوق|huqūq|noun|neutral|salary/rights|او از حقوق خود راضی نیست.|ō az huqūq-i khud rāzī nēst.|He is not satisfied with his salary.|Money & Finance|
1255|دستمزد|dastmuzd|noun|neutral|wage|دستمزد کارگران روزانه پرداخت می‌شود.|dastmuzd-i kārgarān rōzāna pardākht mēshawad.|The workers' wages are paid daily.|Abstract Concepts|
1256|پاداش|pādāsh|noun|neutral|bonus/reward|کارمندان برتر پاداش گرفتند.|kārmandān-i bartar pādāsh giriftand.|The top employees received a bonus.|Abstract Concepts|
1257|تقاعد|taqā'ud|noun|neutral|retirement|او بعد از سی سال کار به تقاعد رفت.|ō ba'd az sī sāl kār ba taqā'ud raft.|He went into retirement after thirty years of work.|Abstract Concepts|
1258|بازنشستگی|bāznishastagī|noun|neutral|retirement|سن بازنشستگی در این کشور شصت سال است.|sinn-i bāznishastagī dar īn kishwar shast sāl ast.|The retirement age in this country is sixty years.|Abstract Concepts|
1259|استعفا|isti'fā|noun|neutral|resignation|مدیر عامل دیروز استعفا داد.|mudīr-i 'āmil dīrōz isti'fā dād.|The CEO submitted his resignation yesterday.|Abstract Concepts|
1260|برکناری|barkanārī|noun|neutral|dismissal|دلیل برکناری او مشخص نیست.|dalīl-i barkanārī-yi ō mushakhkhas nēst.|The reason for his dismissal is not clear.|Abstract Concepts|
1261|اخراج|ikhrāj|noun|neutral|firing/expulsion|شرکت پنج نفر را اخراج کرد.|shirkat panj nafar rā ikhrāj kard.|The company fired five people.|Abstract Concepts|
1262|مسئولیت|mas'ūlīyat|noun|neutral|responsibility|او مسئولیت پروژه را بر عهده گرفت.|ō mas'ūlīyat-i purōzha rā bar 'uhda girift.|He took on the responsibility of the project.|Abstract Concepts|
1263|صلاحیت|salāhīyat|noun|neutral|authority/competence|او صلاحیت امضای اسناد را ندارد.|ō salāhīyat-i imzā-yi asnād rā nadārad.|He does not have the authority to sign the documents.|Abstract Concepts|
1264|جلسه|jalasa|noun|neutral|meeting|جلسه ساعت ده شروع می‌شود.|jalasa sā'at-i dah shurū' mēshawad.|The meeting starts at ten o'clock.|Work & Business|
1265|مجلس|majlis|noun|neutral|assembly/meeting|مجلس نمایندگان قانون جدید را تصویب کرد.|majlis-i numāyandagān qānūn-i jadīd rā taswīb kard.|The House of Representatives approved the new law.|Work & Business|
1266|کنفرانس|kunfirāns|noun|neutral|conference|کنفرانس اقتصادی فردا برگزار می‌شود.|kunfirāns-i iqtisādī fardā barguzār mēshawad.|The economic conference will be held tomorrow.|Abstract Concepts|
1267|سیمینار|sīmīnār|noun|neutral|seminar|من در یک سیمینار آموزشی شرکت کردم.|man dar yak sīmīnār-i āmōzishī shirkat kardam.|I attended a training seminar.|Abstract Concepts|
1268|راپور|rāpōr|noun|neutral|report|لطفاً راپور کار خود را تسلیم کنید.|lutfan rāpōr-i kār-i khud rā taslīm kunēd.|Please submit the report of your work.|Abstract Concepts|
1269|پیشنهاد|pēshnihād|noun|neutral|proposal/suggestion|ما یک پیشنهاد جدید برای مشتری داریم.|mā yak pēshnihād-i jadīd barāyi mushtarī dārēm.|We have a new proposal for the client.|Abstract Concepts|
1270|طرح|tarh|noun|neutral|plan/design|طرح جدید شرکت موفقیت‌آمیز بود.|tarh-i jadīd-i shirkat muwaffaqīyat-āmēz būd.|The company's new plan was successful.|Abstract Concepts|
1271|پروژه|purōzha|noun|neutral|project|این پروژه تا ماه آینده تمام می‌شود.|īn purōzha tā māh-i āyanda tamām mēshawad.|This project will be finished by next month.|Work & Business|
1272|برنامه‌ریزی|barnāma-rēzī|noun|neutral|planning|برنامه‌ریزی دقیق برای موفقیت ضروری است.|barnāma-rēzī-yi daqīq barāyi muwaffaqīyat zarūrī ast.|Accurate planning is essential for success.|Abstract Concepts|
1273|استراتژی|istarātēzhī|noun|neutral|strategy|استراتژی فروش ما تغییر کرده است.|istarātēzhī-yi furōsh-i mā taghyīr karda ast.|Our sales strategy has changed.|Abstract Concepts|
