
=== ca L2 Schedule ===
Seq: 9 | Scene: Family & Relationships | Introduces: país (country) | canvi (change)
Seq: 10 | Scene: Body & Health | Introduces: començar (to begin) | acabar (to finish)
Seq: 11 | Scene: Food & Drink | Introduces: espai (space)
Seq: 12 | Scene: Home & Furniture | Introduces: marxar (to leave, to go away) | caure (to fall)
Seq: 13 | Scene: Clothing & Fashion | Introduces: so (sound)
Seq: 14 | Scene: Weather & Climate | Introduces: prendre (to take)
Seq: 15 | Scene: Places & Buildings | Introduces: part (part) | mal (harm, ache (fer mal = to hurt)) | cosa (thing)
Seq: 16 | Scene: Work & Education | Introduces: majoria (majority)
Seq: 17 | Scene: Emotions & Feelings | Introduces: deixar (to leave, to let)
Seq: 18 | Scene: Leisure & Culture | Introduces: comptar (to count)
Seq: 19 | Scene: Health & Illness | Introduces: potser (maybe, perhaps)
Seq: 20 | Scene: null | Introduces: estat (state) | mort (death) | rei (king) | anomenar (to call, to name) | final (end, ending)
Seq: 21 | Scene: null | Introduces: únic (only, unique) | grup (group) | tractar (to treat; to deal with) | servir (to serve, to be useful) | general (general)
Seq: 22 | Scene: null | Introduces: cos (body) | caldre (to be necessary (cal = it is necessary)) | principal (main, principal) | vol (flight) | banda (band)
Seq: 23 | Scene: null | Introduces: tipus (rate) | presentar (to present, to introduce) | permetre (to allow, to permit) | problema (problem) | rebre (to receive)
Seq: 24 | Scene: null | Introduces: matar (to kill) | obra (construction work) | sistema (system) | propi (own) | considerar (to consider)
Seq: 25 | Scene: null | Introduces: guanyar (to win, to earn) | convertir (to convert) | antic (old) | resta (the rest, remainder) | tal (such, of this kind)
Seq: 26 | Scene: null | Introduces: crear (to create) | segona ([not a headword: Feminine of 'segon', which the morphology engine already generates.]) | aturar (to stop) | mantenir (to maintain) | edifici (building)
Seq: 27 | Scene: null | Introduces: continuar (to continue, to carry on) | intentar (to try) | servei (service) | formar (to form) | canviar (to change)
Seq: 28 | Scene: null | Introduces: empresa (company) | sud (south) | zona (area, zone) | divers (diverse, various) | enviar (to send)
Seq: 29 | Scene: null | Introduces: centre (center) | parella (partner/couple) | equip (team) | pas (crossing) | major (older, elder)
Seq: 30 | Scene: null | Introduces: lluitar (to fight, to struggle) | govern (government) | idea (idea) | dret (straight) | relació (relationship)
Seq: 31 | Scene: null | Introduces: membre (member) | partit (match) | paraula (word) | est (east) | demanar (to ask for, to request)
Seq: 32 | Scene: null | Introduces: pla (plan) | població (population) | casar (to marry) | suposar (to suppose) | mica (a bit, a little)
Seq: 33 | Scene: null | Introduces: estimar (to love) | decidir (to decide) | dit (finger) | exèrcit (army) | quals ([not a headword: Plural of 'qual', which the morphology engine already generates.])
Seq: 34 | Scene: null | Introduces: ordre (order, sequence (masc. l'ordre); a command (fem. una ordre - different word, same spelling)) | causa (cause) | illa (island) | línia (line) | alemany (German (the language); a German person)
Seq: 35 | Scene: null | Introduces: possible (possible) | raó (reason) | veu (voice) | església (church) | edat (age)
Seq: 36 | Scene: null | Introduces: color (color) | mitjà (average) | tocar (to touch; to play (an instrument)) | prova (evidence) | terme (term, word)
Seq: 37 | Scene: null | Introduces: consell (council) | estudi (study; studio) | partir (to leave, to depart) | policia (police) | representar (to represent)
Seq: 38 | Scene: null | Introduces: arma (weapon) | actiu (asset) | art (art) | lliure (free) | president (president)
Seq: 39 | Scene: null | Introduces: base (base, basis) | universitat (university) | habitatge (housing, dwelling) | nacional (national) | produir (to produce)
Seq: 40 | Scene: null | Introduces: següent (next, following) | sèrie (series) | nivell (level) | dirigir (to direct, to manage, to lead) | segur (safe)
Seq: 41 | Scene: null | Introduces: càrrec (position, post) | oficial (official) | llei (law) | cara (face) | informació (information)
Seq: 42 | Scene: null | Introduces: castell (human tower) | nombre (number, quantity) | interessar (to interest) | existir (to exist) | significar (to mean, to signify)
Seq: 43 | Scene: null | Introduces: aleshores (then, at that time) | control (control) | total (total, sum) | preparar (to prepare) | nau (nave)
Seq: 44 | Scene: null | Introduces: exemple (example) | baixa (sick leave) | objectiu (goal) | suport (support) | número (number (numeral))
Seq: 45 | Scene: null | Introduces: públic (audience) | humà (human) | regne (kingdom) | conegut (acquaintance) | igual (equal, the same)
Seq: 46 | Scene: null | Introduces: néixer (to be born) | segle (century) | principi (principle) | vaixell (boat) | moviment (movement)
Seq: 47 | Scene: null | Introduces: atac (attack) | pau (peace) | compte (bill/account) | construir (to build, to construct) | finalment (finally)
Seq: 48 | Scene: null | Introduces: imatge (image, picture) | època (epoch) | veritat (truth) | acceptar (to accept) | assassinat (murder)
Seq: 49 | Scene: null | Introduces: èxit (success) | director (director) | club (club) | patir (to suffer) | situació (situation)
Seq: 50 | Scene: null | Introduces: mig (half) | política (politics) | títol (title) | just (just, fair) | abandonar (to abandon)
Seq: 51 | Scene: null | Introduces: seguretat (security) | especial (special) | posició (position) | establir (to establish) | sala (living room)
Seq: 52 | Scene: null | Introduces: realitzar (to carry out) | usar (to use) | protegir (to protect) | sang (blood) | interior (inner, interior)
Seq: 53 | Scene: null | Introduces: cançó (song) | greu (serious, grave) | central (central) | premi (prize, award) | obtenir (to obtain, to get)
Seq: 54 | Scene: null | Introduces: realitat (reality) | moure (to move) | mestre (teacher) | soldar (to weld) | funcionar (to work, to function)
Seq: 55 | Scene: null | Introduces: programa (program) | contenir (to contain) | font (source) | llista (list) | real (real (not imaginary))
Seq: 56 | Scene: null | Introduces: fi (la fi = end; el fi = aim, purpose) | militar (military) | superior (superior, upper) | atacar (to attack) | mostrar (to show)
Seq: 57 | Scene: null | Introduces: company (colleague) | salvar (to save, to rescue) | favor (favor) | resultat (result) | local (local)
Seq: 58 | Scene: null | Introduces: batalla (battle) | construcció (construction) | acció (share) | anterior (previous, earlier) | noia (young woman)
Seq: 59 | Scene: null | Introduces: motiu (reason) | triar (to choose) | cambra (room) | fons (fund) | probablement (probably)
Seq: 60 | Scene: null | Introduces: agent (officer) | projecte (project) | capità (captain)
