# Darya core lexicon - expanded batch (AI scripted)
# rank|dari|translit|pos|register|glossEn|exampleDari|exampleTranslit|exampleEn|tags|variants
292|فکر|fikr|noun|neutral|thought, idea|فکر خوب است.|fikr-i khōb ast.|It is a good idea.|Abstract Concepts|
293|فقط|faqat|adverb|neutral|only, just|فقط یک کتاب دارم.|faqat yak kitāb dāram.|I only have one book.|Descriptions & Qualities|
294|الان|al'ān|adverb|neutral|now|الان می‌روم.|al'ān mērawam.|I am going now.|Time & Calendar|حالا,حالی
295|توی|tō-yi|preposition|spoken|in, inside|آب توی گیلاس است.|āb tō-yi gēlās ast.|Water is in the glass.|Grammar & Connectors|
296|مگر|magar|conjunction|neutral|but, unless, except|مگر تو نگفتی؟|magar tu naguftī?|Didn't you say?|Grammar & Connectors|مگه
297|وقتی|waqt-e|conjunction|neutral|when (conj)|وقتی آمدی، خبر بده.|waqt-e āmadī, khabar bidi.|When you arrive, let me know.|Grammar & Connectors|
298|حرف|harf|noun|neutral|word, talk|حرف نزن.|harf nazan.|Don't talk.|Communication & Media|
299|برای|barā-yi|preposition|neutral|for|این برای تو است.|īn barā-yi tu ast.|This is for you.|Grammar & Connectors|
300|هیچ|hēch|adverb|neutral|nothing, none|من هیچ نمی‌دانم.|man hēch namēdānam.|I don't know anything.|Descriptions & Qualities|
301|بعد|bad|adverb|neutral|after, later|بعد می‌بینمت.|bad mēbīnamat.|I'll see you later.|Descriptions & Qualities|
302|درست|durust|adjective|neutral|correct, right|این جواب درست است.|īn jawāb durust ast.|This answer is correct.|Law & Justice|
303|همین|hamīn|pronoun|neutral|this exactly, just this|همین کتاب را می‌خواهم.|hamīn kitāb rā mēkhāham.|I want exactly this book.|Grammar & Connectors|
304|هنوز|hanōz|adverb|neutral|yet, still|هنوز نرفته‌ام.|hanōz narafta-am.|I haven't gone yet.|Descriptions & Qualities|
305|بیرون|bērōn|adverb|neutral|outside|بیرون باران است.|bērōn bārān ast.|It is raining outside.|Descriptions & Qualities|
306|مورد|mawarid|noun|neutral|case, subject|در این مورد صحبت کن.|dar īn mawarid suhbat kun.|Talk about this subject.|Abstract Concepts|
307|کسی|kasē|noun|neutral|someone, anyone|کسی در خانه نیست.|kasē dar khāna nēst.|No one is at home.|Abstract Concepts|
308|ممنون|mamnōn|interjection|neutral|thank you, grateful|ممنون از کمک شما.|mamnōn az kumak-i shumā.|Thank you for your help.|Abstract Concepts|تشکر
309|واقعاً|wāqean|adverb|neutral|really|واقعاً زیبا است.|wāqean zēbā ast.|It is really beautiful.|Descriptions & Qualities|
310|تمام|tamām|adjective|neutral|all, complete|کار تمام شد.|kār tamām shud.|The work is finished.|Descriptions & Qualities|
311|پیش|pēsh|adverb|neutral|before, front|پیش از من آمد.|pēsh az man āmad.|He came before me.|Descriptions & Qualities|
312|تنها|tanhā|adjective|neutral|alone, only|من تنها هستم.|man tanhā hastam.|I am alone.|Descriptions & Qualities|
313|شاید|shāyad|adverb|neutral|maybe, perhaps|شاید فردا بیایم.|shāyad fardā biyāyam.|Maybe I'll come tomorrow.|Descriptions & Qualities|
314|نظر|nazar|noun|neutral|opinion, view|نظر شما چیست؟|nazar-i shumā chīst?|What is your opinion?|Abstract Concepts|
315|دوباره|dōbāra|adverb|neutral|again|دوباره بگو.|dōbāra bugō.|Say it again.|Descriptions & Qualities|
316|نگاه|nigāh|noun|neutral|look, glance|یک نگاه کن.|yak nigāh kun.|Take a look.|Abstract Concepts|
317|گوش|gōsh|noun|neutral|ear|گوش کن.|gōsh kun.|Listen.|Body & Anatomy|
318|صحبت|suhbat|noun|neutral|conversation, talk|صحبت می‌کنیم.|suhbat mēkunēm.|We are talking.|Communication & Media|
319|قبل|qabl|adverb|neutral|before|قبل از ظهر می‌آیم.|qabl az zuhr mēāyam.|I will come before noon.|Descriptions & Qualities|
320|آدم|ādam|noun|neutral|person, human|او آدم خوبی است.|ō ādam-i khōbī ast.|He is a good person.|People & Identity|
321|همیشه|hamēsha|adverb|neutral|always|همیشه خوش باشی.|hamēsha khush bāshī.|May you always be happy.|Time & Calendar|
322|بر|bar|preposition|neutral|on, upon|بر روی میز است.|bar rō-yi mēz ast.|It is on the table.|Grammar & Connectors|
323|خانم|khānum|noun|neutral|lady, Ms., wife|خانم من داکتر است.|khānum-i man dāktar ast.|My wife is a doctor.|Family & Relationships|
324|قرار|qarār|noun|neutral|appointment, agreement|ما قرار داریم.|mā qarār dārēm.|We have an appointment.|Abstract Concepts|
325|حال|hāl|noun|neutral|condition, state|حال شما چطور است؟|hāl-i shumā chitōr ast?|How is your condition? (How are you?)|Society & Politics|
326|بی|bē|preposition|neutral|without|بی خبر رفت.|bē khabar raft.|He went without notice.|Grammar & Connectors|
327|پول|pul|noun|neutral|money|پول ندارم.|pul nadāram.|I don't have money.|Money & Finance|
328|خدا|khudā|noun|neutral|God|خدا مهربان است.|khudā mihrabān ast.|God is kind.|Religion & Beliefs|
