# Darya core lexicon - part 2 (band 2: everyday verbs, courtesy, food, body, weather)
# rank|dari|translit|pos|register|glossEn|exampleDari|exampleTranslit|exampleEn|tags|variants
101|سلام|salām|interjection|neutral|hello|سلام، چطور هستید؟|salām, chetōr hastēd?|Hello, how are you?|Abstract Concepts|
102|تشکر|tashakur|interjection|neutral|thank you|تشکر، حال من خوب است.|tashakur, hāl-e man khōb ast.|Thank you, I am well.|Abstract Concepts|
103|لطفاً|lutfan|adverb|neutral|please|لطفاً یک چای بیاور.|lutfan yak chāy biyāwar.|Please bring a tea.|Descriptions & Qualities|لطفا
104|ببخشید|bubakhshēd|interjection|neutral|excuse me, sorry|ببخشید، بازار کجا است؟|bubakhshēd, bāzār kujā ast?|Excuse me, where is the market?|Abstract Concepts|
105|خداحافظ|khudā hāfez|interjection|neutral|goodbye|خداحافظ، فردا می‌بینمت.|khudā hāfez, fardā mēbīnamet.|Goodbye, see you tomorrow.|Abstract Concepts|خدا حافظ
106|جور|jōr|adjective|spoken|well, healthy|جور هستید؟|jōr hastēd?|Are you well?|Descriptions & Qualities|
107|خوش|khush|adjective|neutral|happy, glad|از دیدن شما خوش شدم.|az dīdan-e shumā khush shudam.|I am glad to see you.|Emotions & Feelings|
108|مانده|mānda|adjective|spoken|tired|بعد از کار مانده هستم.|ba'd az kār mānda hastam.|After work I am tired.|Descriptions & Qualities|
109|گرسنه|gushna|adjective|spoken|hungry|بچه گرسنه است.|bacha gushna ast.|The child is hungry.|Food & Drink|گشنه
110|تشنه|tushna|adjective|neutral|thirsty|تشنه هستم، آب می‌خواهم.|tushna hastam, āb mēkhāham.|I am thirsty, I want water.|Food & Drink|
111|برنج|berenj|noun|neutral|rice|برنج با گوشت می‌خوریم.|berenj bā gōsht mēkhurēm.|We eat rice with meat.|Food & Drink|
112|گوشت|gōsht|noun|neutral|meat|گوشت گوسفند خوش‌مزه است.|gōsht-e gōsfand khushmaza ast.|Lamb meat is tasty.|Food & Drink|
