rank	word	subsRank	wikiRank
1	forma	433	98
2	rei	235	239
3	morir	264	257
4	cop	208	329
5	general	601	133
6	ben	259	353
7	principal	1301	103
8	major	1038	151
9	resta	506	323
10	centre	978	171
11	zona	974	202
12	únic	413	500
13	clar	197	1196
14	aleshores	416	591
15	través	963	256
16	partir	1403	192
17	matar	227	1265
18	sèrie	1399	208
19	mig	593	491
20	total	1698	177
21	ordre	546	556
22	nacional	1626	196
23	voltant	868	372
24	línia	936	352
25	club	993	357
26	igual	504	712
27	dur	561	645
28	càrrec	889	423
29	número	614	637
30	probablement	566	692
31	just	393	1008
32	interior	1349	296
33	crear	1325	303
34	base	1115	361
35	posició	1008	407
36	nombre	2940	140
37	oficial	774	533
38	est	1237	334
39	regne	1178	366
40	lliure	589	739
41	favor	337	1320
42	sola	531	860
43	moviment	1433	332
44	mena	548	873
45	especial	689	705
46	capità	334	1470
47	real	741	691
48	armes	651	788
49	anomenat	1440	371
50	pròpia	876	610
51	diverses	4025	135
52	propi	890	616
53	atac	704	817
54	reial	972	592
55	membre	1489	395
56	reina	446	1380
57	diversos	4893	128
58	membres	2058	307
59	dreta	977	654
60	direcció	1381	465
61	significa	701	917
62	procés	2223	304
63	segle	2261	305
64	superior	2264	317
65	construcció	3691	199
66	accés	1625	457
67	torre	1708	448
68	honor	724	1058
69	permetre	1095	701
70	futur	670	1157
71	humans	1078	742
72	militar	1764	482
73	missió	943	909
74	capaç	756	1194
75	doctor	442	2054
76	mur	920	1020
77	comte	810	1169
78	popular	2497	388
79	papa	496	1954
80	estudi	2368	412
81	simplement	621	1584
82	milions	703	1426
83	contacte	984	1029
84	obtenir	2424	427
85	comandant	707	1480
86	parell	565	1881
87	totalment	1105	962
88	humà	954	1117
89	original	2652	405
90	oportunitat	459	2361
91	natural	1995	561
92	ocupats	4827	232
93	unitat	1327	850
94	príncep	1079	1051
95	salvar	575	1974
96	mundial	3275	350
97	tercer	1709	677
98	període	4101	283
99	material	2607	446
100	front	1411	829
101	presència	1969	597
102	temporada	2965	401
103	presentar	1948	617
104	arreu	951	1285
105	normal	817	1511
106	val	380	3311
107	secret	611	2149
108	actual	3360	394
109	arma	555	2398
110	mitjançant	3830	349
111	esposa	1195	1141
112	social	3258	422
113	palau	2175	635
114	corrent	1149	1207
115	tocar	956	1452
116	origen	3392	411
117	tropes	2440	586
118	comú	1616	893
119	ordres	787	1835
120	aparèixer	1971	733
121	dòlars	582	2492
122	quasi	1103	1327
123	enrere	594	2467
124	tercera	1874	782
125	unió	3386	434
126	directament	1609	916
127	damunt	1376	1082
128	aspecte	1645	918
129	velocitat	1707	902
130	humana	1297	1188
131	simple	1295	1191
132	doble	1881	822
133	capacitat	2723	568
134	premsa	1395	1119
135	victòria	1712	915
136	abandonar	1672	952
137	territori	3688	432
138	formar	3354	480
139	anterior	3158	512
140	activitat	3571	461
141	països	6101	270
142	conjunt	5119	322
143	atacar	1276	1300
144	renda	10836	155
145	enllà	1164	1443
146	exactament	452	3757
147	enemic	918	1858
148	allí	1076	1590
149	excepte	1114	1536
150	combat	1402	1235
151	educació	3325	527
152	plena	1058	1660
153	foren	5234	336
154	apareix	3847	460
155	accident	851	2083
156	líder	1253	1416
157	marc	1756	1015
158	civil	3635	493
159	vila	3632	497
160	tractar	1298	1408
161	governador	1789	1026
162	milers	1012	1875
163	mitjana	3335	576
164	impossible	823	2351
165	habitatge	16012	122
166	distància	1677	1168
167	comandament	1683	1167
168	suficient	959	2059
169	ésser	2010	1019
170	escapar	1024	2033
171	lliures	1352	1572
172	veritable	1090	1962
173	mínim	1263	1735
174	coberta	3919	563
175	organització	3649	605
176	exterior	2904	772
177	caràcter	4370	517
178	intenció	1595	1421
179	començament	1648	1381
180	oferir	1740	1314
181	and	3231	723
182	mostrar	2160	1090
183	tinent	841	2812
184	quilòmetres	1981	1204
185	mida	2730	876
186	emperador	2214	1088
187	clara	1582	1528
188	esclaus	1200	2017
189	espasa	808	3002
190	destruir	1313	1848
191	corona	1769	1384
192	quelcom	536	4571
193	peces	3771	651
194	cort	2028	1214
195	present	2334	1061
196	directe	1821	1393
197	creació	4566	562
198	amunt	1015	2538
199	dècada	5081	519
200	peça	2515	1052
201	segurament	1141	2327
202	comunicació	3509	757
203	produir	5078	528
204	funciona	773	3494
205	familiar	1766	1535
206	dirigir	3359	811
207	militars	3065	892
208	bellesa	1563	1758
209	desaparèixer	1244	2243
210	contrari	1889	1485
211	voluntat	1664	1707
212	certa	2339	1218
213	americans	1554	1840
214	gas	1674	1709
215	depèn	1541	1873
216	proper	1826	1583
217	tron	1722	1689
218	menor	4243	686
219	màxim	2732	1071
220	créixer	1620	1833
221	senzill	1999	1486
222	coronel	1190	2501
223	ambdós	3197	933
224	alçada	3332	897
225	polític	3799	789
226	roca	2343	1293
227	americà	2053	1484
228	para	682	4481
229	autoritat	2087	1471
230	resulta	1390	2216
231	pràctica	3644	849
232	fosc	1357	2292
233	propera	1508	2065
234	anomena	2663	1170
235	referència	4656	670
236	representa	3548	880
237	figura	4537	689
238	juntament	5734	546
239	controlar	1882	1677
240	degut	3062	1035
241	aproximadament	4086	777
242	desaparegut	1070	2980
243	triar	1109	2878
244	ocupat	1437	2245
245	complet	2394	1353
246	iniciar	3994	823
247	cadascun	2468	1356
248	records	1545	2173
249	traducció	2073	1662
250	usar	2236	1557
251	pati	2464	1428
252	manté	2672	1354
253	açò	518	6993
254	provar	1004	3610
255	generalment	6367	573
256	índia	2751	1328
257	demostrar	2168	1688
258	text	4692	792
259	tracte	854	4380
260	incloent	4641	812
261	lliga	4305	879
262	fortalesa	2796	1355
263	parar	897	4236
264	tècnica	4991	762
265	objecte	4320	883
266	intent	2550	1496
267	heroi	1069	3595
268	particular	4089	944
269	identitat	2539	1522
270	sexe	1314	2944
271	princesa	1372	2833
272	viva	1102	3532
273	avall	1388	2829
274	privat	1511	2604
275	romandre	3189	1234
276	medicina	2741	1436
277	brillant	1669	2377
278	ponent	2534	1566
279	pràcticament	3052	1303
280	clarament	2038	1966
281	episodis	1804	2223
282	centenars	1888	2126
283	buit	1720	2346
284	principalment	7952	510
285	flota	2048	1982
286	perfecte	678	6002
287	rep	4410	923
288	naixement	3003	1363
289	romans	3480	1185
290	comportament	2673	1547
291	ací	602	6905
292	escut	3576	1193
293	legal	1418	3031
294	esdeveniments	3890	1105
295	comercial	4574	947
296	tomba	2147	2022
297	drogues	932	4668
298	sentiments	1438	3026
299	casament	1111	3946
300	ocupar	4019	1091
301	americana	2826	1553
302	definitivament	2041	2154
303	veïns	3138	1403
304	científics	2892	1525
305	fase	4044	1093
306	occidental	5861	766
307	útil	1951	2324
308	posterior	6830	664
309	administració	5452	832
310	existeixen	4565	996
311	similar	4704	969
312	aigües	5079	898
313	fàcilment	2498	1850
314	celebrar	3404	1358
315	cantó	3515	1319
316	provocar	4469	1038
317	tresor	1100	4222
318	habitual	3814	1240
319	gràcia	1621	2921
320	científic	2218	2138
321	retorn	3250	1461
322	nomenat	8292	574
323	sexual	2155	2275
324	tripulació	1955	2545
325	pilot	1929	2592
326	independent	5506	919
327	potència	2836	1790
328	portal	5290	960
329	boig	619	8226
330	anomenar	3344	1537
331	comtat	4015	1284
332	enorme	1978	2616
333	bomba	1242	4209
334	extrem	5517	956
335	càncer	2045	2628
336	signar	3349	1613
337	mama	530	10215
338	cobert	3053	1818
339	lletres	5302	1050
340	saga	1333	4182
341	amo	1209	4621
342	ocasió	3067	1825
343	tribu	2516	2237
344	continuació	4499	1252
345	noble	2598	2215
346	característiques	8713	666
347	succeir	2446	2394
348	lletra	3429	1711
349	federal	3100	1893
350	romà	5123	1149
351	indica	4024	1463
352	manca	4338	1362
353	apareixen	5574	1062
354	possiblement	3289	1807
355	jueus	3273	1819
356	màgia	1342	4463
357	merda	198	30297
358	recollir	2105	2855
359	promesa	1474	4089
360	requereix	3412	1768
361	cercle	3204	1885
362	dintre	1825	3331
363	tros	1107	5492
364	funcionar	1935	3163
365	inferior	8216	747
366	solen	5385	1140
367	russos	2617	2368
368	àlbum	10497	593
369	britànic	4634	1349
370	espacial	3103	2015
371	llenguatge	4591	1366
372	fulles	5667	1108
373	dedicar	5875	1078
374	milió	1813	3503
375	inclou	9931	641
376	tradicional	6847	932
377	anunciar	5834	1095
378	sensació	1896	3388
379	cementiri	3441	1868
380	enmig	1980	3282
381	bord	1546	4204
382	dimensions	6021	1083
383	familiars	3248	2011
384	francesos	5122	1289
385	esdevenir	7912	836
386	torres	4872	1360
387	bisbe	6214	1067
388	colla	2370	2800
389	devia	2013	3320
390	rus	3444	1959
391	indis	2027	3333
392	oficialment	3997	1696
393	sona	708	9586
394	bandera	4649	1464
395	venjança	1538	4433
396	cervesa	1236	5530
397	inici	6925	989
398	quarta	3867	1779
399	punta	3341	2071
400	creixent	3717	1865
401	representant	3668	1916
402	pèl	1660	4242
403	escollir	2135	3307
404	etc	12732	555
405	identificar	3818	1856
406	olor	1116	6355
407	exacte	1171	6072
408	volar	1493	4772
409	romana	5569	1282
410	alliberar	2614	2733
411	convèncer	2118	3381
412	global	2942	2455
413	munt	1086	6724
414	humanitat	2332	3158
415	descriure	4462	1651
416	cerca	2868	2572
417	dama	1977	3740
418	traslladar	6472	1146
419	col	430	17415
420	significat	4107	1842
421	terrible	1019	7448
422	destrucció	2881	2661
423	categoria	7684	1002
424	pistola	1059	7329
425	disponible	3526	2204
426	pou	3024	2575
427	eliminar	3562	2207
428	colònia	4751	1656
429	símbol	4718	1674
430	passeig	3545	2228
431	contingut	7992	997
432	capturar	3239	2469
433	humor	2253	3559
434	fundació	10896	738
435	enamorat	1561	5173
436	éssers	2895	2795
437	saló	3886	2086
438	circumstàncies	2699	3004
439	adéu	376	21642
440	industrial	6724	1213
441	inicial	7058	1162
442	ambdues	6325	1298
443	múltiples	5169	1592
444	drac	2179	3789
445	canó	3714	2230
446	evident	2954	2821
447	cantonada	2888	2915
448	explosió	1939	4345
449	classificades	21688	390
450	monstre	1108	7652
451	impressió	3098	2741
452	rica	3565	2390
453	record	2292	3731
454	permanent	4639	1849
455	llançament	6256	1374
456	bàsicament	3227	2667
457	moral	3147	2746
458	factor	4396	1969
459	situat	15552	557
460	residència	6557	1325
461	explicació	2528	3447
462	japonès	2997	2914
463	refereix	4532	1929
464	esdeveniment	5274	1658
465	aparentment	2717	3223
466	recent	4260	2077
467	temporal	3173	2792
468	baralla	1957	4534
469	concurs	6280	1424
470	fama	5061	1771
471	sergent	1032	8732
472	execució	4097	2203
473	concentració	5240	1729
474	ombra	2184	4159
475	medalla	7637	1202
476	campió	4039	2278
477	assumpte	1522	6053
478	disposició	4813	1915
479	reputació	2914	3165
480	tindre	1861	4961
481	comprovar	2195	4214
482	grec	5794	1599
483	personalitat	4258	2177
484	raça	2782	3342
485	imperial	4830	1927
486	completar	5389	1730
487	solitari	3784	2466
488	rang	5419	1736
489	sencer	1936	4905
490	selecció	9365	1014
491	resultar	4666	2049
492	episodi	5202	1845
493	sòl	7361	1304
494	desconegut	2708	3545
495	descripció	4191	2293
496	encarregat	3707	2607
497	essent	5421	1784
498	enlloc	1159	8346
499	seriosament	1152	8407
500	trànsit	3324	2916
501	petició	3396	2861
502	mina	2737	3576
503	fortuna	2484	3948
504	ala	3596	2744
505	agradable	1312	7526
506	absència	4594	2151
507	cadàver	1584	6241
508	còpia	3086	3214
509	transmissió	4825	2060
510	profund	2549	3903
511	rebutjar	4145	2403
512	correspon	6394	1559
513	automòbils	10262	977
514	rebels	3610	2780
515	alcohol	2328	4311
516	vigilància	2499	4018
517	tirar	1775	5658
518	granja	2161	4649
519	enfrontar	4761	2114
520	interpretació	7499	1343
521	relacionat	3760	2681
522	representar	6354	1587
523	aprofitar	4265	2372
524	comunista	5183	1955
525	salvatges	1564	6486
526	expedició	5461	1859
527	salvatge	1852	5491
528	invasió	4466	2279
529	uniforme	2545	4001
530	eix	7076	1447
531	guarda	2007	5104
532	rebel	1976	5186
533	plana	8744	1175
534	conscient	2068	4973
535	excepció	4500	2286
536	llatí	6530	1578
537	suportar	1931	5337
538	matemàtiques	4712	2189
539	ajut	4008	2577
540	possessió	4572	2260
541	disposat	1972	5248
542	determinar	6148	1686
543	ronda	3820	2718
544	derrotar	4267	2442
545	apartament	1473	7095
546	representació	9818	1065
547	regla	3131	3344
548	cognom	3738	2817
549	adequat	3104	3393
550	aparell	5127	2057
551	identificació	2953	3577
552	italià	7198	1475
553	elèctrica	3338	3182
554	capella	14001	760
555	marcar	4575	2334
556	guerrers	2616	4096
557	salt	3190	3361
558	cristians	5626	1911
559	aventura	3150	3432
560	soviètica	7431	1456
561	secundària	8601	1259
562	potencial	4200	2582
563	gegant	2487	4367
564	altura	5841	1862
565	establiments	22524	483
566	vídua	3254	3349
567	sentiment	2525	4319
568	suau	2967	3684
569	mental	3021	3629
570	enterrat	3792	2892
571	inactius	27743	396
572	famosa	3975	2806
573	guardar	2405	4644
574	evolució	7287	1533
575	genial	485	23095
576	resistir	2947	3804
577	nombrosos	13950	806
578	longitud	9434	1195
