kind	lexemeA	targetA	lexemeB	targetB	count
vobj	lx-0097	کردن	lx-0079	کار	81
vobj	lx-0097	کردن	lx-0208	کمک	63
vobj	lx-0149	شدن	lx-0339	استفاده	55
vobj	lx-0010	است	lx-4849	افزایش	54
vobj	lx-0095	داشتن	lx-1082	نیاز	52
vobj	lx-0098	خواندن	lx-0074	کتاب	45
vobj	lx-0091	خوردن	lx-0038	نان	42
vobj	lx-0097	کردن	lx-0339	استفاده	42
vobj	lx-0382	یافتن	lx-4849	افزایش	41
vobj	lx-0095	داشتن	lx-0337	وجود	39
vobj	lx-0010	است	lx-0079	کار	37
vobj	lx-0100	دادن	lx-4850	کاهش	36
vobj	lx-0149	شدن	lx-4066	انجام	34
vobj	lx-0097	کردن	lx-1206	تولید	33
vobj	lx-0010	است	lx-0325	حال	31
vobj	lx-0010	است	lx-0036	خانه	31
vobj	lx-0010	است	lx-0074	کتاب	28
vobj	lx-0010	است	lx-0080	شهر	25
vobj	lx-0097	کردن	lx-0150	زندگی	24
vobj	lx-0100	دادن	lx-3798	نشان	23
vobj	lx-0095	داشتن	lx-0324	قرار	23
vobj	lx-0095	داشتن	lx-0079	کار	22
vobj	lx-0010	است	lx-3945	انرژی	21
vobj	lx-0010	است	lx-1088	وظیفه	21
vobj	lx-0091	خوردن	lx-0039	چای	21
mod	lx-3945	انرژی	lx-3011	پاک	20
mod	lx-1333	توسعه	lx-1515	پایدار	20
mod	lx-1610	گاز	lx-1507	گلخانه‌ای	20
vobj	lx-0010	است	lx-0085	افغانستان	19
vobj	lx-0010	است	lx-2778	تهدید	19
vobj	lx-0010	است	lx-0701	مرض	19
vobj	lx-0097	کردن	lx-3945	انرژی	19
vobj	lx-0010	است	lx-0058	دوست	18
vobj	lx-0089	رفتن	lx-0133	بازار	18
vobj	lx-0149	شدن	lx-4065	آغاز	18
vobj	lx-0097	کردن	lx-0492	باد	18
vobj	lx-0097	کردن	lx-1342	بررسی	18
vobj	lx-0010	است	lx-0086	کابل	17
