# Darya core lexicon - part 3 (rest of band 2 + representative bands 3–5 for assessment)
# rank|dari|translit|pos|register|glossEn|exampleDari|exampleTranslit|exampleEn|tags|variants
201|امشب|emshab|adverb|neutral|tonight|امشب مهمان می‌آید.|emshab mehmān mēāyad.|Tonight a guest is coming.|Descriptions & Qualities|
202|چاشت|chāsht|noun|spoken|noon; lunch|نان چاشت آماده است.|nān-e chāsht āmāda ast.|Lunch is ready.|Food & Drink|
203|آماده|āmāda|adjective|neutral|ready|چای آماده است.|chāy āmāda ast.|The tea is ready.|Descriptions & Qualities|
204|تازه|tāza|adjective|neutral|fresh; new|نان تازه خریدم.|nān-e tāza kharīdam.|I bought fresh bread.|Descriptions & Qualities|
205|خریدن|kharīdan|verb|neutral|to buy|از بازار سیب خریدم.|az bāzār sēb kharīdam.|I bought apples from the market.|Work & Business|می‌خرم,می‌خری,می‌خرد,می‌خریم,می‌خرند,خریدم,خریدی,خرید,خریدیم,خریدند,بخر
206|پیسه|paysa|noun|spoken|money|پیسه کم دارم.|paysa-ye kam dāram.|I have little money.|Money & Finance|
207|افغانی|afghānī|noun|neutral|afghani (currency); Afghan|این کتاب صد افغانی است.|īn ketāb sad afghānī ast.|This book costs one hundred afghanis.|Abstract Concepts|
208|کمک|kumak|noun|neutral|help|از دوستم کمک خواستم.|az dōstam kumak khāstam.|I asked my friend for help.|Abstract Concepts|
209|درد|dard|noun|neutral|pain, ache|سرم درد دارد.|saram dard dārad.|My head aches.|Health & Medicine|
210|داکتر|dāktar|noun|neutral|doctor|به داکتر رفتم.|ba dāktar raftam.|I went to the doctor.|Health & Medicine|
211|شفاخانه|shafākhāna|noun|neutral|hospital|شفاخانه دور نیست.|shafākhāna dūr nēst.|The hospital is not far.|Health & Medicine|
212|سخت|sakht|adjective|neutral|hard, difficult|این کار سخت است.|īn kār sakht ast.|This work is hard.|Descriptions & Qualities|
213|آسان|āsān|adjective|neutral|easy|دری خواندن آسان است.|darī khāndan āsān ast.|Reading Dari is easy.|Descriptions & Qualities|
214|آرام|ārām|adjective|neutral|calm, quiet|شب قریه آرام است.|shab qarya ārām ast.|At night the village is quiet.|Emotions & Feelings|
215|شروع|shurū'|noun|neutral|beginning, start|درس شروع شد.|dars shurū' shud.|The lesson started.|Abstract Concepts|
216|درس|dars|noun|neutral|lesson|درس امروز آسان بود.|dars-e emrōz āsān būd.|Today's lesson was easy.|Education & Learning|
217|صنف|senf|noun|neutral|class, classroom, grade|صنف ما بیست شاگرد دارد.|senf-e mā bīst shāgerd dārad.|Our class has twenty students.|Education & Learning|
218|بیست|bīst|numeral|neutral|twenty|بیست افغانی دادم.|bīst afghānī dādam.|I paid twenty afghanis.|Numbers & Quantities|
219|پیاده|piyāda|adverb|neutral|on foot, walking|پیاده به بازار رفتم.|piyāda ba bāzār raftam.|I walked to the market.|Body & Anatomy|
220|امتحان|emtehān|noun|neutral|exam, test|فردا امتحان دری داریم.|fardā emtehān-e darī dārēm.|Tomorrow we have a Dari exam.|Education & Learning|
221|سوال|sawāl|noun|neutral|question|یک سوال دارم.|yak sawāl dāram.|I have a question.|Abstract Concepts|
222|جواب|jawāb|noun|neutral|answer|جواب سوال را می‌دانم.|jawāb-e sawāl rā mēdānam.|I know the answer to the question.|Abstract Concepts|
223|هرات|herāt|noun|neutral|Herat|هرات در غرب افغانستان است.|herāt dar gharb-e afghānestān ast.|Herat is in the west of Afghanistan.|Abstract Concepts|
224|مزار|mazār|noun|neutral|Mazar-i-Sharif|مسجد آبی در مزار است.|masjed-e ābī dar mazār ast.|The Blue Mosque is in Mazar.|Abstract Concepts|مزارشریف
225|قندهار|qandahār|noun|neutral|Kandahar|قندهار شهر کلان است.|qandahār shahr-e kalān ast.|Kandahar is a big city.|Abstract Concepts|
226|بلند|buland|adjective|neutral|high, tall; loud|کوه‌های افغانستان بلند است.|kōh-hā-ye afghānestān buland ast.|Afghanistan's mountains are high.|Descriptions & Qualities|
227|پایتخت|pāytakht|noun|neutral|capital city|پایتخت افغانستان کابل است.|pāytakht-e afghānestān kābul ast.|The capital of Afghanistan is Kabul.|Society & Politics|
228|مشهور|mash'hūr|adjective|neutral|famous|قالین افغانی مشهور است.|qālīn-e afghānī mash'hūr ast.|Afghan carpets are famous.|Descriptions & Qualities|
229|قالین|qālīn|noun|neutral|carpet, rug|این قالین دست‌باف است.|īn qālīn dastbāf ast.|This carpet is handwoven.|Home & Furniture|
230|لباس|lebās|noun|neutral|clothes, clothing|لباس نو پوشیدم.|lebās-e naw pōshīdam.|I wore new clothes.|Clothing & Fashion|
231|پوشیدن|pōshīdan|verb|neutral|to wear, to put on|لباس گرم بپوش.|lebās-e garm bepōsh.|Wear warm clothes.|Clothing & Fashion|می‌پوشم,می‌پوشد,می‌پوشند,پوشیدم,پوشید,بپوش
232|آوردن|āwardan|verb|neutral|to bring|چای بیاور لطفاً.|chāy biyāwar lutfan.|Bring tea, please.|Actions & Movement|می‌آورم,می‌آورد,آوردم,آورد,بیاور,بیاورید
233|بردن|burdan|verb|neutral|to take (away), to carry|بچه را به مکتب بردم.|bacha rā ba maktab burdam.|I took the child to school.|Actions & Movement|می‌برم,می‌برد,بردم,برد,ببر
